NS,deg,EW,poles,description
S,30,E,64,
N,62,E,50,
S,12,W,60,down the branch
S,85,W,310,
N,70,W,7,
N,5,E,122,
S,83,E,75,
N,43,E,68,
N,87,E,125,to the beginning
