NS,deg,EW,poles,description
S,10,W,40,
S,35,E,163,
S,35,W,212,
S,55,E,2,
N,70,W,85,
S,10,W,68,
S,80,E,3,
N,90,W,29,
S,0,W,36.5,
S,53,W,152,
N,59.5,W,200,
N,26,W,58,
S,85,E,60,
N,59,E,86,
N,28,E,60,
S,88,E,28,
N,40,E,46,
N,3,E,48,
N,25.5,W,62,
S,54,E,87,
N,70,E,82,
N,14,W,60,
N,50,W,158,
N,75,W,180,
N,45,E,152,
N,65,E,142,
N,20,W,144,
S,49,E,135,
S,76,E,80,
N,81,E,104,
N,90,E,25,
S,20,E,200,
S,38,W,64,
S,40,E,35,
N,90,W,100,to the beginning
