NS,deg,EW,poles,description
S,80,E,50,
N,10,E,82,
N,35,E,114,
N,66,W,168,crossing Difficult Run at 80 poles
N,0,E,162,
N,65,W,216,
S,8,W,342,
S,20,E,121,
N,75,E,54,
N,14,E,102,
N,72,E,124,
S,78,E,66,
S,50,E,40,
S,16.5,W,160,
